epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,924.241,0.98748,2.42522,1.00839,0.32932,0.12786,0.09989,0.08304,1.04122,3.42211,1.08383,9.44619e-05,9.44619e-05,9.44619e-05
43,943.966,0.97145,2.39917,1.00283,0.33297,0.13212,0.09298,0.07637,1.03959,3.40312,1.07841,9.28878e-05,9.28878e-05,9.28878e-05
44,963.344,0.96049,2.36543,0.99761,0.27136,0.1253,0.08589,0.07219,1.03041,3.37153,1.08656,9.13137e-05,9.13137e-05,9.13137e-05
45,983.881,1.01797,2.39637,1.00512,0.30012,0.11374,0.08502,0.07148,1.02487,3.35648,1.08546,8.97396e-05,8.97396e-05,8.97396e-05
46,1004.08,0.99334,2.3819,1.00161,0.36584,0.11401,0.09061,0.07669,1.04011,3.33003,1.09417,8.81655e-05,8.81655e-05,8.81655e-05
47,1023.94,0.90913,2.27955,0.98999,0.34761,0.12814,0.09622,0.07875,1.04842,3.31459,1.08626,8.65914e-05,8.65914e-05,8.65914e-05
48,1041.97,0.89425,2.23465,0.97554,0.35148,0.12398,0.10151,0.08101,1.05499,3.35042,1.08436,8.50173e-05,8.50173e-05,8.50173e-05
49,1060.82,0.9411,2.31657,0.99735,0.37295,0.11627,0.0964,0.07646,1.03296,3.39839,1.07135,8.34432e-05,8.34432e-05,8.34432e-05
50,1079.44,0.91062,2.22961,0.96294,0.36794,0.11366,0.09206,0.0743,1.03906,3.42081,1.07721,8.18691e-05,8.18691e-05,8.18691e-05
51,1098.64,0.90209,2.164,0.95884,0.33134,0.13863,0.09494,0.07652,1.05058,3.39723,1.08776,8.0295e-05,8.0295e-05,8.0295e-05
52,1145.33,0.85058,2.10928,0.97243,0.40585,0.13007,0.0997,0.08062,1.04789,3.37555,1.08462,7.87209e-05,7.87209e-05,7.87209e-05
53,1186.83,0.87853,2.08932,0.95408,0.41064,0.12849,0.10301,0.08305,1.03899,3.36898,1.0798,7.71468e-05,7.71468e-05,7.71468e-05
54,1205.93,0.9314,2.13079,0.97793,0.35508,0.12871,0.11037,0.08927,1.04747,3.359,1.0874,7.55727e-05,7.55727e-05,7.55727e-05
55,1225.1,0.88422,2.08655,0.97462,0.27141,0.12929,0.10589,0.09133,1.05663,3.37094,1.09793,7.39986e-05,7.39986e-05,7.39986e-05
56,1244.77,0.91746,2.15572,0.95399,0.3168,0.13589,0.11335,0.0926,1.04657,3.35042,1.09215,7.24245e-05,7.24245e-05,7.24245e-05
57,1264.35,0.85567,2.02921,0.96482,0.32373,0.12885,0.09749,0.08242,1.05046,3.35581,1.09613,7.08504e-05,7.08504e-05,7.08504e-05
58,1285.04,0.93201,2.082,0.95669,0.29177,0.14105,0.10008,0.08285,1.03567,3.36928,1.08686,6.92763e-05,6.92763e-05,6.92763e-05
59,1306.05,0.89457,2.04788,0.94581,0.34861,0.12313,0.10152,0.08452,1.03311,3.40647,1.0781,6.77022e-05,6.77022e-05,6.77022e-05
60,1325.37,0.87322,2.04787,0.97813,0.32925,0.14396,0.10279,0.08672,1.03992,3.42119,1.08237,6.61281e-05,6.61281e-05,6.61281e-05
61,1345.25,0.89026,2.05373,0.95497,0.3676,0.14354,0.10559,0.08922,1.04468,3.41924,1.08213,6.4554e-05,6.4554e-05,6.4554e-05
62,1366.08,0.86951,2.03431,0.99202,0.43116,0.12654,0.10068,0.08509,1.04188,3.40579,1.08231,6.29799e-05,6.29799e-05,6.29799e-05
63,1385.95,0.86735,1.93945,0.94367,0.43647,0.12047,0.10218,0.08653,1.05111,3.42451,1.09347,6.14058e-05,6.14058e-05,6.14058e-05
64,1404.98,0.83453,1.8375,0.94926,0.35569,0.12568,0.10816,0.09342,1.06289,3.43868,1.11036,5.98317e-05,5.98317e-05,5.98317e-05
65,1423.68,0.90932,1.95019,0.94892,0.29989,0.13218,0.10454,0.08941,1.06057,3.44292,1.1002,5.82576e-05,5.82576e-05,5.82576e-05
66,1442.65,0.8705,1.95261,0.96212,0.36362,0.12793,0.11161,0.08885,1.05274,3.44377,1.09694,5.66835e-05,5.66835e-05,5.66835e-05
67,1470.62,0.82264,1.8144,0.95235,0.51514,0.11442,0.11326,0.0902,1.06092,3.41516,1.09926,5.51094e-05,5.51094e-05,5.51094e-05
68,1525.42,0.88474,1.91552,0.95379,0.48283,0.11456,0.10865,0.09518,1.06821,3.39908,1.10515,5.35353e-05,5.35353e-05,5.35353e-05
69,1544.47,0.87007,2.01272,0.96588,0.48716,0.11765,0.11815,0.09324,1.06452,3.3758,1.09875,5.19612e-05,5.19612e-05,5.19612e-05
70,1561.68,0.80148,1.87347,0.93947,0.38656,0.14787,0.11962,0.09572,1.05759,3.3873,1.09684,5.03871e-05,5.03871e-05,5.03871e-05
71,1577.81,0.81636,1.8293,0.95323,0.44063,0.14577,0.12036,0.09556,1.03016,3.39539,1.08779,4.8813e-05,4.8813e-05,4.8813e-05
72,1595.98,0.86503,1.82168,0.95382,0.33828,0.15454,0.11872,0.09345,1.02802,3.40832,1.09028,4.72389e-05,4.72389e-05,4.72389e-05
73,1615.2,0.86575,1.89567,0.95233,0.32933,0.15344,0.11447,0.08863,1.01649,3.40477,1.08858,4.56648e-05,4.56648e-05,4.56648e-05
74,1634.29,0.78536,1.70803,0.93981,0.31112,0.15326,0.11387,0.0879,1.01855,3.36833,1.08974,4.40907e-05,4.40907e-05,4.40907e-05
75,1654.31,0.86475,1.74493,0.94929,0.54501,0.13079,0.11725,0.08956,1.01521,3.3315,1.08481,4.25166e-05,4.25166e-05,4.25166e-05
76,1673.6,0.8141,1.81303,0.93473,0.54174,0.13215,0.11756,0.09095,1.02277,3.32666,1.08194,4.09425e-05,4.09425e-05,4.09425e-05
77,1693.78,0.83774,1.84137,0.95592,0.37619,0.13907,0.11431,0.0877,1.03261,3.30679,1.08665,3.93684e-05,3.93684e-05,3.93684e-05
78,1714.67,0.86479,1.86694,0.95773,0.39963,0.13806,0.11436,0.0876,1.02989,3.31796,1.08776,3.77943e-05,3.77943e-05,3.77943e-05
79,1733.56,0.80896,1.8015,0.954,0.39826,0.13756,0.11581,0.09157,1.02274,3.32266,1.08332,3.62202e-05,3.62202e-05,3.62202e-05
80,1752.87,0.80888,1.7232,0.94468,0.3538,0.13854,0.11908,0.09146,1.03446,3.33277,1.09305,3.46461e-05,3.46461e-05,3.46461e-05
81,1771.68,0.80613,1.68104,0.94532,0.37361,0.13907,0.11711,0.09117,1.03469,3.34722,1.09503,3.3072e-05,3.3072e-05,3.3072e-05
82,1789.49,0.77388,1.66621,0.91188,0.40734,0.1392,0.12183,0.10013,1.03098,3.383,1.0945,3.14979e-05,3.14979e-05,3.14979e-05
83,1808,0.84428,1.77517,0.94177,0.34427,0.14065,0.11256,0.09848,1.04939,3.40785,1.10527,2.99238e-05,2.99238e-05,2.99238e-05
84,1827.66,0.78103,1.71196,0.9531,0.32509,0.12885,0.11133,0.09706,1.04132,3.41186,1.10074,2.83497e-05,2.83497e-05,2.83497e-05
85,1846.71,0.88908,1.7852,0.95623,0.32675,0.13042,0.10501,0.0924,1.04685,3.40974,1.10557,2.67756e-05,2.67756e-05,2.67756e-05
86,1865.39,0.78356,1.71007,0.92136,0.39645,0.1354,0.11225,0.09168,1.05129,3.39476,1.10846,2.52015e-05,2.52015e-05,2.52015e-05
87,1884.1,0.8301,1.69988,0.9341,0.41065,0.1257,0.10423,0.09141,1.05561,3.39712,1.10999,2.36274e-05,2.36274e-05,2.36274e-05
88,1903.33,0.80689,1.73066,0.93061,0.43443,0.12571,0.10507,0.09214,1.05404,3.39638,1.11324,2.20533e-05,2.20533e-05,2.20533e-05
89,1923.59,0.84114,1.81462,0.94546,0.3817,0.12571,0.10468,0.09034,1.05912,3.39656,1.11663,2.04792e-05,2.04792e-05,2.04792e-05
90,1942.57,0.81377,1.70207,0.93236,0.35738,0.12663,0.10803,0.09177,1.05516,3.4005,1.11991,1.89051e-05,1.89051e-05,1.89051e-05
91,1961.28,0.78875,2.17226,0.92562,0.38417,0.12276,0.09874,0.08409,1.05562,3.40336,1.1057,1.7331e-05,1.7331e-05,1.7331e-05
92,1979.64,0.73146,1.96216,0.88476,0.30842,0.13137,0.09518,0.08087,1.04312,3.41059,1.08967,1.57569e-05,1.57569e-05,1.57569e-05
93,1999.43,0.72917,2.04025,0.88565,0.33984,0.11612,0.09214,0.07872,1.04273,3.43067,1.07783,1.41828e-05,1.41828e-05,1.41828e-05
94,2019.58,0.76593,2.02929,0.90887,0.33448,0.11485,0.09032,0.07687,1.06416,3.43255,1.08703,1.26087e-05,1.26087e-05,1.26087e-05
95,2039.46,0.75458,2.02926,0.88849,0.33646,0.12327,0.08945,0.07627,1.0714,3.43928,1.09597,1.10346e-05,1.10346e-05,1.10346e-05
96,2059.1,0.79242,2.07438,0.90737,0.33801,0.11728,0.08921,0.07531,1.07233,3.44518,1.09713,9.4605e-06,9.4605e-06,9.4605e-06
97,2079.01,0.75646,2.00873,0.90911,0.34306,0.11786,0.08923,0.07533,1.07851,3.43489,1.09647,7.8864e-06,7.8864e-06,7.8864e-06
98,2098.78,0.74425,2.03119,0.88984,0.34266,0.11481,0.08947,0.07519,1.08309,3.43877,1.10166,6.3123e-06,6.3123e-06,6.3123e-06
99,2118.23,0.73704,1.91908,0.90444,0.30671,0.13294,0.08965,0.07533,1.08594,3.44004,1.10114,4.7382e-06,4.7382e-06,4.7382e-06
100,2137.77,0.75734,2.04884,0.8981,0.30158,0.13412,0.08857,0.07424,1.09989,3.45989,1.10765,3.1641e-06,3.1641e-06,3.1641e-06
